ID,Name
35.23,TUBAN
35.24,LAMONGAN
35.25,GRESIK
35.26,BANGKALAN
35.27,SAMPANG
35.28,PAMEKASAN
35.29,SUMENEP
35.71,KEDIRI
35.72,BLITAR
35.73,MALANG
35.74,PROBOLINGGO
35.75,PASURUAN
35.76,MOJOKERTO
35.77,MADIUN
35.78,SURABAYA
35.79,BATU
36.01,PANDEGLANG
36.02,LEBAK
36.03,TANGERANG
36.04,SERANG
36.71,TANGERANG
36.72,CILEGON
36.73,SERANG
36.74,TANGERANG SELATAN
51.01,JEMBRANA
51.02,TABANAN
51.03,BADUNG
51.04,GIANYAR
51.05,KLUNGKUNG
51.06,BANGLI
51.07,KARANGASEM
51.08,BULELENG
51.71,DENPASAR
52.01,LOMBOK BARAT
52.02,LOMBOK TENGAH
52.03,LOMBOK TIMUR
52.04,SUMBAWA
52.05,DOMPU
52.06,BIMA
52.07,SUMBAWA BARAT
52.08,LOMBOK UTARA
52.71,MATARAM
52.72,BIMA
53.01,KUPANG
53.02,IMOR TENGAH SELATAN
53.03,TIMOR TENGAH UTARA
53.04,BELU
53.05,ALOR
53.06,FLORES TIMUR
53.07,SIKKA
53.08,ENDE
53.09,NGADA
53.10,MANGGARAI
53.11,SUMBA TIMUR
53.12,SUMBA BARAT
53.13,LEMBATA
53.14,ROTE NDAO
53.15,MANGGARAI BARAT
53.16,NAGEKEO
53.17,SUMBA TENGAH
53.18,SUMBA BARAT DAYA
53.19,MANGGARAI TIMUR
53.20,SABU RAIJUA
53.21,MALAKA
53.71,KUPANG
61.01,SAMBAS
61.02,MEMPAWAH
61.03,SANGGAU
61.04,KETAPANG
61.05,SINTANG
61.06,KAPUAS HULU
61.07,BENGKAYANG
61.08,LANDAK
61.09,SEKADAU
61.10,MELAWI
61.11,KAYONG UTARA
61.12,KUBU RAYA
61.71,PONTIANAK
61.72,SINGKAWANG
62.01,KOTAWARINGIN BARAT
62.02,KOTAWARINGIN TIMUR
62.03,KAPUAS
62.04,BARITO SELATAN
62.05,BARITO UTARA
62.06,KATINGAN
62.07,SERUYAN
62.08,SUKAMARA
62.09,LAMANDAU
62.10,GUNUNG MAS
62.11,PULANG PISAU
62.12,MURUNG RAYA
62.13,BARITO TIMUR
62.71,PALANGKARAYA
63.01,TANAH LAUT
63.02,KOTABARU
63.03,BANJAR
63.04,BARITO KUALA
63.05,TAPIN
63.06,HULU SUNGAI SELATAN
63.07,HULU SUNGAI TENGAH
63.08,HULU SUNGAI UTARA
63.09,TABALONG
63.10,TANAH BUMBU
63.11,BALANGAN
63.71,BANJARMASIN
63.72,BANJARBARU
64.01,PASER
64.02,KUTAI KARTANEGARA
64.03,BERAU
64.07,KUTAI BARAT
64.08,KUTAI TIMUR
64.09,PENAJAM PASER UTARA
64.11,MAHAKAM ULU
64.71,BALIKPAPAN
64.72,SAMARINDA
64.74,BONTANG
65.01,BULUNGAN
65.02,MALINAU
65.03,NUNUKAN
65.04,TANA TIDUNG
65.71,TARAKAN
71.01,BOLAANG MONGONDOW
71.02,MINAHASA
71.03,KEPULAUAN SANGIHE
71.04,KEPULAUAN TALAUD
71.05,MINAHASA SELATAN
71.06,MINAHASA UTARA
71.07,MINAHASA TENGGARA
71.08,BOLAANG MONGONDOW UTARA
71.09,KEP. SIAU TAGULANDANG BIARO
71.10,BOLAANG MONGONDOW TIMUR
71.11,BOLAANG MONGONDOW SELATAN
71.71,MANADO
71.72,BITUNG
71.73,TOMOHON
71.74,KOTAMOBAGU
72.01,BANGGAI
72.02,POSO
72.03,DONGGALA
72.04,TOLI TOLI
72.05,BUOL
72.06,MOROWALI
72.07,BANGGAI KEPULAUAN
72.08,PARIGI MOUTONG
72.09,TOJO UNA UNA
72.10,SIGI
72.11,BANGGAI LAUT
72.12,MOROWALI UTARA
72.71,PALU
73.01,KEPULAUAN SELAYAR
73.02,BULUKUMBA
73.03,BANTAENG
73.04,JENEPONTO
73.05,TAKALAR
73.06,GOWA
73.07,SINJAI
73.08,BONE
73.09,MAROS
73.10,PANGKAJENE KEPULAUAN
73.11,BARRU
73.12,SOPPENG
73.13,WAJO
73.14,SIDENRENG RAPPANG
73.15,PINRANG
73.16,ENREKANG
73.17,LUWU
73.18,TANA TORAJA
73.22,LUWU UTARA
73.24,LUWU TIMUR
73.26,TORAJA UTARA
73.71,MAKASSAR
73.72,PARE PARE
73.73,PALOPO
74.01,KOLAKA
74.02,KONAWE
74.03,MUNA
74.04,BUTON
74.05,KONAWE SELATAN
74.06,BOMBANA
74.07,WAKATOBI
74.08,KOLAKA UTARA
74.09,KONAWE UTARA
74.10,BUTON UTARA
74.11,KOLAKA TIMUR
74.12,KONAWE KEPULAUAN
74.13,MUNA BARAT
74.14,BUTON TENGAH
74.15,BUTON SELATAN
74.71,KENDARI
74.72,BAU BAU
75.01,GORONTALO
75.02,BOALEMO
75.03,BONE BOLANGO
75.04,PAHUWATO
75.05,GORONTALO UTARA
75.71,GORONTALO
76.01,MAMUJU UTARA
76.02,MAMUJU
76.03,MAMASA
76.04,POLEWALI MANDAR
76.05,MAJENE
76.06,MAMUJU TENGAH
81.01,MALUKU TENGAH
81.02,MALUKU TENGGARA
81.03,MALUKU TENGGARA BARAT
81.04,BURU
81.05,SERAM BAGIAN TIMUR
81.06,SERAM BAGIAN BARAT
81.07,KEPULAUAN ARU
81.08,MALUKU BARAT DAYA
81.09,BURU SELATAN
81.71,AMBON
81.72,TUAL
82.01,HALMAHERA BARAT
82.02,HALMAHERA TENGAH
82.03,HALMAHERA UTARA
82.04,HALMAHERA SELATAN
82.05,KEPULAUAN SULA
82.06,HALMAHERA TIMUR
82.07,PULAU MOROTAI
82.08,PULAU TALIABU
82.71,TERNATE
82.72,TIDORE KEPULAUAN
91.01,MERAUKE
91.02,JAYAWIJAYA
91.03,JAYAPURA
91.04,NABIRE
91.05,KEPULAUAN YAPEN
91.06,BIAK NUMFOR
91.07,PUNCAK JAYA
91.08,PANIAI
91.09,MIMIKA
91.10,SARMI
91.11,KEEROM
91.12,PEGUNUNGAN BINTANG
91.13,YAHUKIMO
91.14,TOLIKARA
91.15,WAROPEN
91.16,BOVEN DIGOEL
91.17,MAPPI
91.18,ASMAT
91.19,SUPIORI
91.20,MAMBERAMO RAYA
91.21,MAMBERAMO TENGAH
91.22,YALIMO
91.23,LANNY JAYA
91.24,NDUGA
91.25,PUNCAK
91.26,DOGIYAI
91.27,INTAN JAYA
91.28,DEIYAI
91.71,JAYAPURA
92.01,SORONG
92.02,MANOKWARI
92.03,FAK FAK
92.04,SORONG SELATAN
92.05,RAJA AMPAT
92.06,TELUK BINTUNI
92.07,TELUK WONDAMA
92.08,KAIMANA
92.09,TAMBRAUW
92.10,MAYBRAT
92.11,MANOKWARI SELATAN
92.12,PEGUNUNGAN ARFAK
92.71,SORONG
